Model,Train_R2,Test_R2,Test_MAE,Test_RMSE,Test_MAPE,Overfit_Gap
Random Forest (Tuned),0.9795032755274212,0.846998325858842,30.922407370342764,394.16791117390704,315.7418624005625,0.13250494966857918
LightGBM (Tuned),0.9278385671022622,0.7804821462088631,40.00196194695135,472.1370677110594,437.8189657344508,0.14735642089339906
